SARIMA,ETS,Theta,Ensemble,ticker,date
44794915023.18268,47192484489.894,41054000477.285904,44347133330.12086,206640,2025-10-02
44094077480.75533,40650893429.76153,41477613309.60155,42074194740.03947,206640,2025-10-03
42621828112.71158,43634292204.81681,41901226141.9172,42719115486.481865,206640,2025-10-04
42714785165.94287,45336290098.151085,42324838974.23285,43458638079.44227,206640,2025-10-05
43504175500.51583,43050867648.35092,42748451806.54849,43101164985.13842,206640,2025-10-06
45815713047.67027,49513988593.18311,43172064638.86414,46167255426.57251,206640,2025-10-07
44750325465.59578,51869417023.583725,43595677471.17979,46738473320.11976,206640,2025-10-08
48890112224.842,55704827482.34067,44019290303.49544,49538076670.22604,206640,2025-10-09
34300838302.734856,49555433272.24267,48000883334.82182,43952384969.93311,208140,2025-10-01
32746341488.103058,48092990818.81179,48350791894.98319,43063374733.96601,208140,2025-10-02
41848850234.54561,45659505248.18314,44491536920.7908,43999964134.50652,208140,2025-10-03
44809098659.63112,46748992053.2735,45625360635.53039,45727817116.145,208140,2025-10-04
33755065389.853977,47306993324.41299,47373074094.99107,42811710936.41935,208140,2025-10-05
32030055053.992664,46648058837.64169,46561817473.96195,41746643788.5321,208140,2025-10-06
45751920487.31096,48718934894.05265,46977726128.17093,47149527169.84485,208140,2025-10-07
49766776710.39681,51955286901.96587,51720863709.28467,51147642440.54911,208140,2025-10-08
36540794666.82819,50492844448.535,52070772269.44604,46368137128.26975,208140,2025-10-09
99893542573.92534,197093399485.22083,171961722882.9205,156316221647.35556,210980,2025-10-01
159829879282.10574,174359464360.21613,173721103512.06094,169303482384.79428,210980,2025-10-02
119676481127.75868,187246866022.02667,175480484141.20142,160801277096.99557,210980,2025-10-03
98960032586.0,188091756828.74585,177239864770.3419,154763884728.36258,210980,2025-10-04
125464932920.89333,184825460072.0373,178999245399.48236,163096546130.80432,210980,2025-10-05
70995520619.59958,245203302421.35367,180758626028.6228,165652483023.19202,210980,2025-10-06
136130970754.57655,213058566329.26617,182518006657.76328,177235847913.86868,210980,2025-10-07
120937005676.14072,210515788257.2401,184277387286.90372,171910060406.76154,210980,2025-10-08
171432326291.80978,187781853132.23544,186036767916.04425,181750315780.02985,210980,2025-10-09
17146832677.875689,18533218017.90311,13529746502.72474,16403265732.83451,211270,2025-10-01
8976413856.53031,17690210910.07071,13653188219.813835,13439937662.138285,211270,2025-10-02
17334563842.44186,15470134148.874908,13776629936.902931,15527109309.406565,211270,2025-10-03
8784274870.94519,14897527057.958162,13900071653.992027,12527291194.29846,211270,2025-10-04
17532763093.407814,17268077010.63387,14023513371.081123,16274784491.707603,211270,2025-10-05
8563944991.022997,16005489504.21548,14146955088.17022,12905463194.469566,211270,2025-10-06
17719668814.014565,19244856978.7697,14270396805.259315,17078307532.681192,211270,2025-10-07
