,date_month_end,hs_code_6d,expDlr,ticker,market_cap_billions,revenue_billions,revenue_ttm_billions,revenue_ttm_shift,PSR_ttm
124,2023-05-31,851762,1619900000.0,MMM,43.21,8.03,33.431,33.431,1.2925129370943138
125,2023-06-30,851762,1986270000.0,MMM,46.38,6.28,31.012,33.431,1.38733510813317
126,2023-07-31,851762,1925700000.0,MMM,51.67,6.28,31.012,33.431,1.5455714755765608
127,2023-08-31,851762,1860750000.0,MMM,49.43,6.28,31.012,31.012,1.593899135818393
128,2023-09-30,851762,1737000000.0,MMM,43.39,6.27,28.663,31.012,1.3991358183928801
129,2023-10-31,851762,1864580000.0,MMM,42.18,6.27,28.663,31.012,1.3601186637430671
130,2023-11-30,851762,1742530000.0,MMM,45.95,6.27,28.663,28.663,1.6031120259568086
131,2023-12-31,851762,1853490000.0,MMM,50.7,6.0,26.586,28.663,1.7688308969751947
132,2024-01-31,851762,1862080000.0,MMM,43.78,6.0,26.586,28.663,1.5274046680389353
133,2024-02-29,851762,1706090000.0,MMM,42.75,6.0,26.586,26.586,1.6079891672308735
134,2024-03-31,851762,1998810000.0,MMM,49.22,6.02,24.571,26.586,1.8513503347626572
135,2024-04-30,851762,1757090000.0,MMM,53.45,6.02,24.571,26.586,2.010456631309712
136,2024-05-31,851762,1681840000.0,MMM,55.46,6.02,24.571,24.571,2.257132391844044
137,2024-06-30,851762,1946190000.0,MMM,56.59,6.25,24.543,24.571,2.303121566073827
138,2024-07-31,851762,1996600000.0,MMM,70.23,6.25,24.543,24.571,2.8582475275731554
139,2024-08-31,851762,2164520000.0,MMM,74.16,6.25,24.543,24.543,3.0216354968830217
140,2024-09-30,851762,1734980000.0,MMM,74.31,6.29,24.567,24.543,3.0277472191663612
141,2024-10-31,851762,1985290000.0,MMM,69.84,6.29,24.567,24.543,2.845617895122846
142,2024-11-30,851762,1845500000.0,MMM,72.59,6.29,24.567,24.567,2.9547767330158345
143,2024-12-31,851762,1875980000.0,MMM,70.2,6.01,24.575,24.567,2.857491757235316
144,2025-01-31,851762,2125400000.0,MMM,82.77,6.01,24.575,24.567,3.3691537428257416
145,2025-02-28,851762,1972170000.0,MMM,84.35,6.01,24.575,24.575,3.4323499491353
146,2025-03-31,851762,2345720000.0,MMM,79.39,5.95,24.513,24.575,3.2305188199389625
147,2025-04-30,851762,2183620000.0,MMM,75.09,5.95,24.513,24.575,3.055544252288912
148,2025-05-31,851762,2161340000.0,MMM,80.2,5.95,24.513,24.513,3.2717333659690775
149,2025-06-30,851762,2023480000.0,MMM,82.3,6.34,24.602,24.513,3.3574021947538037
150,2025-07-31,851762,2209040000.0,MMM,80.67,6.34,24.602,24.513,3.2909068657447067
151,2025-08-31,851762,2218300000.0,MMM,84.08,6.34,24.602,24.602,3.4176083245264612
152,2025-09-30,851762,2062910000.0,MMM,85.34,6.34,24.602,24.602,3.4688236728721242
153,2025-10-31,851762,2246780000.0,,,,,,
154,2025-11-30,851762,2100540000.0,,,,,,
155,2025-12-31,851762,2207550000.0,,,,,,
156,2026-01-31,851762,2260790000.0,,,,,,
157,2026-02-28,851762,2110310000.0,,,,,,
158,2026-03-31,851762,2455920000.0,,,,,,
159,2026-04-30,851762,2260900000.0,,,,,,
160,2026-05-31,851762,2206470000.0,,,,,,
161,2026-06-30,851762,2299530000.0,,,,,,
162,2026-07-31,851762,2385440000.0,,,,,,
163,2026-08-31,851762,2394650000.0,,,,,,
164,2026-09-30,851762,2239720000.0,,,,,,
